owner_project,teamno,noofmembers,concerned_years,noofyears,proj_size,proj_language,proj_age,median_pr_merged,stanfordandgender,stanfordandgenderwithoutNAN,eth_stanandnameprism_st,eth_stanandnameprism_st_withoutNAN,knownethnicityprop,knowngenderprop,atleast75genprop,ethblau_st_cat,eth_blau_index,gender_blau_index,project_star_count,project_watchers_count,project_language,project_forks_count
scala_scala,12,4,['2018'],1,123866,Scala,2587,3.5,"['male', 'male', 'male', 'UnKnown']","['male', 'male', 'male', 'UnKnown']","['White', 'White', 'White', 'Unknown']","['White', 'White', 'White', 'Unknown']",0.75,0.75,1,heterogeneous,0,0,12340,12340,Scala,2831
opscode_omnibus-software,13,3,"['2018', '2016']",2,2673,Ruby,2450,1,"['male', 'male', 'male']","['male', 'male', 'male']","['White', 'White', 'White']","['White', 'White', 'White']",1,1,1,homogeneous,0,0,116,116,Ruby,249
AliceO2Group_AliceO2,21,4,"['2018', '2017']",2,171222,C++,1546,13,"['male', 'male', 'male', 'male']","['male', 'male', 'male', 'male']","['White', 'White', 'White', 'Unknown']","['White', 'White', 'White', 'Unknown']",0.75,1,1,heterogeneous,0,0,44,44,C++,141
arangodb_arangodb,69,5,['2018'],1,1011831,C++,2623,9,"['female', 'male', 'male', 'male', 'male']","['female', 'male', 'male', 'male', 'male']","['Unknown', 'White', 'White', 'White', 'White']","['Unknown', 'White', 'White', 'White', 'White']",0.8,1,1,heterogeneous,0,0.32,8940,8940,C++,599
Katello_katello,56,4,"['2018', '2017']",2,108861,Ruby,2454,10.5,"['male', 'male', 'male', 'male']","['male', 'male', 'male', 'male']","['White', 'White', 'White', 'White']","['White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0,278,278,Ruby,233
moderntribe_the-events-calendar,14,4,"['2018', '2017', '2016', '2015']",4,99473,PHP,1796,2,"['male', 'male', 'male', 'male']","['male', 'male', 'male', 'male']","['Unknown', 'White', 'White', 'White']","['Unknown', 'White', 'White', 'White']",0.75,1,1,heterogeneous,0,0,186,186,PHP,148
AliceO2Group_AliceO2,20,4,['2018'],1,171222,C++,1546,7.5,"['male', 'male', 'male', 'male']","['male', 'male', 'male', 'male']","['White', 'White', 'White', 'White']","['White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0,44,44,C++,141
AliceO2Group_AliceO2,3,3,['2018'],1,171222,C++,1546,6,"['male', 'male', 'male']","['male', 'male', 'male']","['White', 'White', 'White']","['White', 'White', 'White']",1,1,1,homogeneous,0,0,44,44,C++,141
AliceO2Group_AliceO2,15,7,"['2018', '2017']",2,171222,C++,1546,11,"['male', 'male', 'male', 'male', 'male', 'male', 'male']","['male', 'male', 'male', 'male', 'male', 'male', 'male']","['White', 'White', 'White', 'White', 'White', 'White', 'Unknown']","['White', 'White', 'White', 'White', 'White', 'White', 'Unknown']",0.857142857,1,1,heterogeneous,0,0,44,44,C++,141
AliceO2Group_AliceO2,16,6,"['2018', '2017']",2,171222,C++,1546,15.5,"['male', 'male', 'male', 'male', 'male', 'male']","['male', 'male', 'male', 'male', 'male', 'male']","['White', 'White', 'White', 'White', 'White', 'Unknown']","['White', 'White', 'White', 'White', 'White', 'Unknown']",0.833333333,1,1,heterogeneous,0,0,44,44,C++,141
